,Tweet,Result Prediction,text_preprocessed
432,"@TheDandyGoblin @mkini_bm Taliban x guna demokrasi utk tutup kedai judi, dia cuma guna raifel letak dlm mulut pengkritik. Amerika pun terciduk 20 tahun gagal hapuskan taliban. Sebab apa? Sebab kebenaran akan mengatasi kebatilan. X perlu agama pun boleh tahu judi ni membawa keburukkan walaupun jd pemenang.",Neutral,"['bm', 'taliban', 'kali', 'demokrasi', 'tutup', 'kedai', 'judi', 'raifel', 'letak', 'mulut', 'pengkritik', 'amerika', 'terciduk', 'gagal', 'hapuskan', 'taliban', 'kebenaran', 'mengatasi', 'kebatilan', 'kali', 'agama', 'judi', 'nih', 'membawa', 'keburukkan', 'pemenang']"
433,"kmu belum gagal, emang tau dari mana udah sampe ujung",Neutral,"['gagal', 'tau', 'ujung']"
434,"https://t.co/sMPR2erlg4

Gagal nikah https://t.co/aBrBlzjCyg",Neutral,"['gagal', 'nikah']"
435,Orang yang tidak belajar dari kegagalannya adalah orang yang Gagal sesungguhnya,Positive,"['orang', 'belajar', 'kegagalannya', 'orang', 'gagal', 'sesungguhnya']"
436,"“Kau gagal tetapi masih bisa
mampu bangkit kembali, karena
itu menurutku arti dari kuat yang
sebenarnya” (Hinata Hyuuga)",Neutral,"['kau', 'gagal', 'bangkit', 'menurutku', 'arti', 'kuat', 'hinata', 'hyuuga']"
438,Kebanyakan orang gagal adalah orang yang tidak menyadari betapa dekatnya mereka ke titik sukses saat mereka memutuskan untuk menyerah.,Neutral,"['kebanyakan', 'orang', 'gagal', 'orang', 'menyadari', 'betapa', 'dekatnya', 'titik', 'suks', 'memutuskan', 'menyerah']"
439,"@sutanmangara Gagal casting ""kebaya merah"" 🤣🤣🤣",Neutral,"['gagal', 'cast', 'kebaya', 'merah']"
441,@canda_maurer Gagal. ngga solat subuh,Neutral,"['maurer', 'gagal', 'solat', 'subuh']"
442,"Sukses bukanlah final, gagal bukanlah fatal; dan keberanian untuk melanjutkan adalah hal yang paling utama",Neutral,"['suks', 'final', 'gagal', 'fatal', 'keberanian', 'melanjutkan', 'utama']"
443,"@tanyakanrl cheer up for u, smua manusia akan berguna pada masa nya soooo jgn merasa gagal jdi manusia krna Tuhan menciptakan manusia untk berguna dan beribadah di dunia ini nder",Positive,"['cheer', 'up', 'for', 'lu', 'manusia', 'berguna', 'nya', 'soooo', 'gagal', 'manusia', 'tuhan', 'menciptakan', 'manusia', 'berguna', 'beribadah', 'dunia', 'nder']"
444,ini cek ideb.ku OJK emang gagal terus begini? 😑😑🤯,Neutral,"['cek', 'idebku', 'ojk', 'gagal']"
445,Hari pertama tahun 2023 burnt cheesecake ku gagal (tak capai tahap yang aku nak). Penat takyah cerita lah dengan Kaiden demam lagi. 😭,Neutral,"['burnt', 'cheesecak', 'ku', 'gagal', 'capai', 'tahap', 'nak', 'penat', 'takyah', 'cerita', 'kaiden', 'demam']"
446,apakah 2023 jadi tahun gw gagal lg?,Neutral,"['gue', 'gagal']"
447,"@PAK_RT_007 @bachrum_achmadi Beda dong drun.

Bedanya Jokowi BERHASIL.
Dan anies GAGAL.

krn anies GA BISA KERJA.

😎 https://t.co/bP1ZEEsLV0",Neutral,"['rt', 'achmadi', 'beda', 'drun', 'bedanya', 'jokowi', 'berhasil', 'ani', 'gagal', 'ani', 'kerja']"
448,"di banyak aspek, duit “ngomong” cuy..
sadari bahwa hampir setiap kenyamanan itu ada ongkosnya.
jangan karena gagal dapat kenyamanan karena ogah modal terus nyalahin sistem.",Neutral,"['aspek', 'duit', 'mengomong', 'cuy', 'sadari', 'kenyamanan', 'ongkosnya', 'gagal', 'kenyamanan', 'ogah', 'modal', 'menyalahkan', 'sistem']"
449,@ustadzahniaa Ukhti macam mamakku,Neutral,"['ukhti', 'mamakku']"
450,tolong happy ending ya agar aku tidak dihantui gagal move on seumur hidup pls 😭😭😭😭 https://t.co/8n1fNsPifz,Positive,"['tolong', 'happi', 'end', 'ya', 'dihantui', 'gagal', 'move', 'on', 'seumur', 'hidup', 'pl']"
451,"Hidup ini seperti roda, kadang-kadang Anda akan berada di atas, kadang-kadang Anda akan berada di bagian bawah. Tidak penting ketika kita menjadi di atas atau di bagian bawah. Tapi yang paling penting adalah syukur ketika sukses dan sabar ketika gagal.",Neutral,"['hidup', 'roda', 'kadangkadang', 'kadangkadang', 'syukur', 'suks', 'sabar', 'gagal']"
452,"𝙕𝙤𝙣𝙖 𝙀𝙧𝙤𝙥𝙖 𝙈𝙖𝙠𝙞𝙣 𝙅𝙖𝙪𝙝 😤

Chelsea gagal merebut kemenangan. Langkah mereka bermain di Eropa musim depan terasa semakin berat 😬

Saatnya belanja? 😏

#MatchdayGoal #EPL #NFOCHE https://t.co/ljWrV0OVod",Neutral,"['chelsea', 'gagal', 'merebut', 'kemenangan', 'langkah', 'bermain', 'eropa', 'musim', 'berat', 'belanja']"
453,"Sempat tidak percaya dengan kata cinta, karena cinta selalu ada apa nya. Tidak mungkin cinta tanpa ekonomi yang baik, tidak mungkin cinta tanpa harapan harapan yg selalu terpenuhi. Tapi ibuku memberikan cinta nya tanpa pamrih saat saya gagal jadi anak yg diharapkan semua ibu",Neutral,"['percaya', 'cinta', 'cinta', 'nya', 'cinta', 'ekonomi', 'cinta', 'harapan', 'harapan', 'terpenuhi', 'ibuku', 'cinta', 'nya', 'pamrih', 'gagal', 'anak', 'diharapkan']"
454,"Apa salah dan dosa mang potter
Taktik sucimu memanglah usang
Banyak pemain yg dah todd belikan
Gagal menang
Gagal menang

~bacanya pake nada jaran goyang ~",Neutral,"['salah', 'dosa', 'potter', 'taktik', 'sucimu', 'memanglah', 'usang', 'pemain', 'deh', 'todd', 'belikan', 'gagal', 'menang', 'gagal', 'menang', 'bacanya', 'pakai', 'nada', 'jaran', 'goyang']"
455,"Kebanyakan orang gagal adalah orang yang
tidak menyadari betapa dekatnya mereka ke titik
sukses saat mereka memutuskan untuk
menyerah.",Neutral,"['kebanyakan', 'orang', 'gagal', 'orang', 'menyadari', 'betapa', 'dekatnya', 'titik', 'suks', 'memutuskan', 'menyerah']"
456,Menjadi org gagal itu sakit sekali rasanya...,Neutral,"['orang', 'gagal', 'sakit']"
457,@Harunadnan Brightonologi Chelsea yg gagal,Neutral,"['brightonolog', 'chelsea', 'gagal']"
458,"@garagarabola_ Ekspektasi 8-0 lawan Filipina, jadi juara grup,
Realita, kalah 0-1 karna Filipina parkir bus, gagal jadi runner-up",Neutral,"['ekspektasi', 'lawan', 'filipina', 'juara', 'grup', 'realita', 'kalah', 'filipina', 'parkir', 'bu', 'gagal', 'runnerup']"
459,Termasuk aks juga gagal.,Neutral,"['ak', 'gagal']"
460,"Mydream niat hiatus serentak, galama pada niat lrp. Ehhhh, satu persatu gagal lrp. KATAKU KAKAK BACK RP AJA CEPEEEEET. @loviepudu",Neutral,"['mydream', 'niat', 'hiatu', 'serentak', 'galama', 'niat', 'lrp', 'ehhhh', 'persatu', 'gagal', 'lrp', 'kataku', 'kakak', 'back', 'rp', 'cepeeeeet']"
461,"Menang disyukuri, gagal menang yo dinikmati. https://t.co/FPU2oL5KC0",Neutral,"['menang', 'disyukuri', 'gagal', 'menang', 'ya', 'dinikmati']"
462,"Punya 2 tiket kereta malam ini, tawang jaya premium dan gumarang ... Antisipasi kalau salah satu gagal jalan, tp moga2 bisa sampai jakarta semua hari ini...amiin",Neutral,"['tiket', 'kereta', 'malam', 'tawang', 'jaya', 'premium', 'gumarang', 'antisipasi', 'salah', 'gagal', 'jalan', 'moga', 'jakarta', 'iniamiin']"
464,"@nctzenbase aku screenshot bagus, tapi foto nya gagal https://t.co/CUrmAorcnZ",Neutral,"['screenshot', 'bagu', 'foto', 'nya', 'gagal']"
465,@panca66 @Dennysiregar7 Waah asli gagal ppppooookkkuuussss...musiknya ciamik cucoook banget sama venesia....hahahq,Neutral,"['asli', 'gagal', 'ppppooookkkuuussssmusiknya', 'ciamik', 'cucoook', 'banget', 'venesiahahahq']"
466,"@tanyarlfes heran juga gue asli dah ada temen begini, dari dia bilang takut gagal kl gak dibutik dia tuh, emang yang lebih penting ape sihh nemenin temen lu atau nurutin ego dia doang dah, kl emang mepet yaudah gapapa sihhh tukang jait biasa juga gak bakal bikin kainnya jadi baju gembel",Negative,"['heran', 'gue', 'asli', 'deh', 'teman', 'bilang', 'takut', 'gagal', 'kalo', 'dibutik', 'tuh', 'sih', 'nemenin', 'teman', 'lu', 'nurutin', 'ego', 'doang', 'deh', 'kalo', 'mepet', 'yaudah', 'gapapa', 'sih', 'tukang', 'jait', 'bikin', 'kainnya', 'baju', 'gembel']"
467,"Saat orang sedang berada ‘dibawah’, bukan brarti dia nggak bisa naik lagi. Gagal / Sukses",Neutral,"['orang', 'dibawah', 'gagal', 'suks']"
468,10 Roket Antariksa Yg Gagal Tuntaskan Misi Di 2022 https://t.co/2oA227dLIH,Neutral,"['roket', 'antariksa', 'gagal', 'tuntaskan', 'misi']"
469,"@tanyakanrl you deserve, sender. kamu gak harus jadi orang paling sempurna utk bisa ada di sini. karna kita emang diciptakan utk gak jadi sempurna. dalam hidup, ada kalanya kita gagal, gapapa. namanya juga lg berproses. jadi, ku harap km gak terlalu menyalahkan diri sendiri atas semuanya ya.",Positive,"['you', 'deserv', 'sender', 'orang', 'sempurna', 'diciptakan', 'sempurna', 'hidup', 'kalanya', 'gagal', 'gapapa', 'namanya', 'berpros', 'ku', 'harap', 'menyalahkan', 'ya']"
470,"@tanyakanrl Baru lembaran kedua 2023 loh… ayo jgn merasa gagal begitu. You desserve to be here, happy, dan sebagainya, kuat yaaaa",Positive,"['lembaran', 'loh', 'ayo', 'gagal', 'you', 'desserv', 'be', 'here', 'happi', 'kuat', 'ya']"
471,"Untuk menjadi sukses Anda harus gagal, krn Anda jd mengerti apa yg tidak boleh dilakukan lain kali",Neutral,"['suks', 'gagal', 'mengerti', 'kali']"
472,ya ga semuanya si ak jg nemu org” yg bisa stuck dktin 1 doang trs kalo emg gagal baru balik ke titik 0 alias ya temenan aja ke org” lain ga lgsg ah bodoamat lgsg pdktin WAKAKAKAKAKAK tp ttp aja mrs aneh sm org” yg bs kyk dikirim senderny😭,Neutral,"['ya', 'sih', 'nemu', 'orang', 'stuck', 'dktin', 'doang', 'kalo', 'gagal', 'titik', 'alia', 'ya', 'berteman', 'orang', 'langsung', 'ah', 'bodoamat', 'langsung', 'pdktin', 'wakakakakakak', 'mr', 'aneh', 'orang', 'kayak', 'dikirim', 'senderni']"
473,"GEMESSSSS BGTTTT NNTNNYA gasabarrr next ep siiii 😭 ga pernah gagal kocaknya 
 #IWILLKNOCKYOUEP7",Neutral,"['gemesssss', 'banget', 'nntnnya', 'gasabarrr', 'next', 'ep', 'siiii', 'gagal', 'kocaknya']"
474,😭😭😭😭 ga pernah gagal nyiptain lirik lagu baru 😭👍🏻 https://t.co/zWdqQWjDY5,Neutral,"['gagal', 'nyiptain', 'lirik', 'lagu']"
475,@convomf @allegrazoo cooo gagal diskon wkwkwkwk,Neutral,"['cooo', 'gagal', 'diskon', 'wkwkwkwk']"
476,"aslii sii bnr2 sbnjir itu, mknya gagal deh😁🤏🏻

https://t.co/VWSdlrm4B3",Neutral,"['aslii', 'sih', 'sbnjir', 'gagal', 'deh']"
477,"10 Roket Antariksa Yg Gagal Tuntaskan Misi Di 2022

https://t.co/sTTqYhwUit",Neutral,"['roket', 'antariksa', 'gagal', 'tuntaskan', 'misi']"
478,🥺😭 ka nu (?) gapernah gagal bikin gue nangis sama kata kata yg dilontsrkan di au. Gue jadi banyak mikir ttg diri gue dan orangtua gue sendiri 😔 https://t.co/08ZINyP6bD,Neutral,"['kak', 'nu', 'gagal', 'bikin', 'gue', 'menangi', 'dilontsrkan', 'au', 'gue', 'mikir', 'gue', 'orangtua', 'gue']"
479,"Impian aing tuh tinggi banget tp aing ngewujudinnya ada aja halangannya, banyak bgt, udah bongkar pasang berapa kali, gagal juga bbrp kali, ngelewatin berbagai macam medan krn nemu jalan buntu, ada aja yg bikin gak mulus dan emg g sesuai",Neutral,"['impian', 'a', 'tuh', 'banget', 'a', 'ngewujudinnya', 'halangannya', 'banget', 'bongkar', 'pasang', 'kali', 'gagal', 'kali', 'ngelewatin', 'medan', 'nemu', 'jalan', 'buntu', 'bikin', 'mulu', 'sesuai']"
480,"1st day ajaa udah gagal, bukan ga sempet tapi ga nyempetin wkw. Gapapa ga terlalu penting",Neutral,"['st', 'day', 'gagal', 'menyempatkan', 'wkw', 'gapapa']"
481,"@sbyfess Ngikut boleh? F26 asli Surabaya

But bukan capek sama drama. Tapi capek sama gagal mulu wkwkwk 🤣🤣",Positive,"['ngikut', 'f', 'asli', 'surabaya', 'but', 'capek', 'drama', 'capek', 'gagal', 'mulu', 'wkwkwk']"
482,"@tanyakanrl ahh itu perasaanmu aj nder, gada yg gagal, cuma blum berhasil aja, fight lagi yuu",Positive,"['ah', 'perasaanmu', 'nder', 'gagal', 'berhasil', 'fight', 'yuk']"
483,@NabilaK57709585 Jadi ya kamu tuhh kalau mau jadi angel sekalian basmi jg tuhh jari fans pelakor gagal shiho miyano yang murahan n ga laku. Jngn cm fans ran yg sebiji ini yg d ceramahin🤣🤣🤣,Positive,"['ya', 'tuh', 'angel', 'basmi', 'tuh', 'jari', 'fan', 'pelakor', 'gagal', 'shiho', 'miyano', 'murahan', 'n', 'laku', 'fan', 'ran', 'sebiji', 'ceramahin']"
484,@UNSfess_ Gagal fokus dg pertanyaan 'apa kalo di solo banyak gitu ya',Positive,"['gagal', 'foku', 'kalo', 'solo', 'ya']"
485,"Sebenarnya kenapa org kelantan sokong @PASPusat smpai 30thn lbh

Islam, 2022 merekodkan banyak kes bunuh diri. Jd mereka GAGAL dlm mendidik.

Jd di mana sbnarnya perjuangan Islam mereka? Hanya dlm ceramah di surau?

@pakatanharapan_ @umnoonline
Ni 2023
https://t.co/RiAmmBkhe9",Neutral,"['orang', 'kelantan', 'sokong', 'islam', 'merekodkan', 'ke', 'bunuh', 'gagal', 'mendidik', 'perjuangan', 'islam', 'ceramah', 'surau', 'nih']"
486,"Anies gagal, bajingan gak pernah sukses #AniesDidukungKHILAFAH",Neutral,"['ani', 'gagal', 'bajingan', 'suks']"
487,"Ndapp sa gagal, yg penting teman"" ku juga",Neutral,"['ndapp', 'sa', 'gagal', 'teman', 'ku']"
488,Gagal keluarga berencana https://t.co/aGpCGoRaxM,Neutral,"['gagal', 'keluarga', 'berencana']"
489,"@itaeguns2 @i_m_mortal_ Soalnya sebelumnya saya langsung ke Alfamart kak, dan gagal terus kata kasirnya gak kepotong, jadi saya balik ke rumah, dan baru tak cobain lagi barusan lewat alfagift, tapi malah ada tulisan pernah dipakai.
Besok saya coba lg, moga aja bisa :(",Positive,"['mmortal', 'langsung', 'alfamart', 'kak', 'gagal', 'kasirnya', 'kepotong', 'rumah', 'mencoba', 'barusan', 'alfagift', 'tulisan', 'dipakai', 'besok', 'coba', 'moga']"
490,@NabilaK57709585 Baru satu org aku yg melawan kamu sudah playing victim apa kabar fans pelakor gagal ai haibara yg hampir selalu menyerang Ran. Fans ShinRan lainnya pd adem aja bikin fans si murahan shiho miyano yg di obral jd tambah jumawa,Neutral,"['orang', 'melawan', 'play', 'victim', 'kabar', 'fan', 'pelakor', 'gagal', 'ai', 'haibara', 'menyerang', 'ran', 'fan', 'shinran', 'adem', 'bikin', 'fan', 'sih', 'murahan', 'shiho', 'miyano', 'obral', 'jumawa']"
491,Pelajaran lainnya adalah sabar plus husnuzon. Alhamdulillah kemarin dikasih gagal dulu buat belajar. Ternyata diganti di waktu yg jauh lebih baik dan jadi lebih bersyukur karena ngelewatin jalan terjal sebelumnya. Intinya 2022 jadi tahunnya belajar sih.,Positive,"['pelajaran', 'sabar', 'plu', 'husnuzon', 'alhamdulillah', 'kemarin', 'dikasih', 'gagal', 'belajar', 'diganti', 'bersyukur', 'ngelewatin', 'jalan', 'terjal', 'intinya', 'tahunnya', 'belajar', 'sih']"
492,"@ssefnum Tmi, kemarin aku coba buat mille crepes, tapi gagal… whipped creamnya belum terlalu set. 😭",Neutral,"['tmi', 'kemarin', 'coba', 'mill', 'crepe', 'gagal', 'whip', 'creamnya', 'set']"
493,"AHY adalah produk gagal SBY,  https://t.co/nrbH2PJg0U #AHYpolitikusGagal",Neutral,"['ahi', 'produk', 'gagal', 'surabaya']"
494,"-That Winter The Wind Blows
 “Paling tidak kau sudah berusaha. Kau bukan Tuhan. Jadi kalau usahamu gagal, itu takdir namanya.”",Neutral,"['that', 'winter', 'the', 'wind', 'blow', 'kau', 'berusaha', 'kau', 'tuhan', 'usahamu', 'gagal', 'takdir', 'namanya']"
495,"Sm percintaan gagal
Sm perkuliahan jg mulai gagal
Sm diri sendiri gagal
Sm ortu gagal
Sm allah gagal

Gini amat jd human",Neutral,"['percintaan', 'gagal', 'perkuliahan', 'gagal', 'gagal', 'orang', 'tua', 'gagal', 'allah', 'gagal', 'human']"
496,💚 aku ngerasa gagal jadi anak dan gagal jadi manusia.i feel like i don't deserve to be here. https://t.co/tqmv0nR2qU,Neutral,"['gagal', 'anak', 'gagal', 'manusiai', 'feel', 'like', 'i', 'dont', 'deserv', 'be', 'here']"
497,@NabilaK57709585 Pakai banding2in Azusa n si pelakor gagal ai haibara yg murahan itu. Beda level kaliii meski Azusa ga jenius ktnya kaya si murahan ga laku shiho miyano tp fansnya ga ada dorong Azusa jadi pelakor kaya fans  ai haibara yang mau di obral,Neutral,"['pakai', 'bandingkan', 'azusa', 'n', 'sih', 'pelakor', 'gagal', 'ai', 'haibara', 'murahan', 'beda', 'level', 'kali', 'azusa', 'jeniu', 'kayak', 'sih', 'murahan', 'laku', 'shiho', 'miyano', 'fansnya', 'dorong', 'azusa', 'pelakor', 'kayak', 'fan', 'ai', 'haibara', 'obral']"
498,Pulisic sama Auba gagal convert crossing Ziyech versi Maroko.,Neutral,"['pulis', 'auba', 'gagal', 'convert', 'cross', 'ziyech', 'versi', 'maroko']"
499,@NabilaK57709585 Tuhh para fans AmuroAzusa aja pd di serang dsn d bar2in oleh fans si pelakor gagal yang murahan ai haibara cm krn mrk mau si murahan Shiho yg sm Amuro. Lahh Amuro blm dg siapa2 ga masalah bila beda shipper. Ini malah ngejek2 Azusa,Neutral,"['tuh', 'fan', 'amuroazusa', 'serang', 'dsn', 'barin', 'fan', 'sih', 'pelakor', 'gagal', 'murahan', 'ai', 'haibara', 'sih', 'murahan', 'shiho', 'amuro', 'amuro', 'beda', 'shipper', 'ngejek', 'azusa']"
500,@armysanctuary Takut aku gagal,Neutral,"['takut', 'gagal']"
501,Gk tau kenapa jadi takut memulai lagi. Kemarin 2 thn Jualan Up down bikin stress putus asa. Sekarang mau mulai lagi sangat berat sekali. Takut gagal lagi. Kurangnya support &amp; motivasi juga 😭 #mengsedih,Neutral,"['tau', 'takut', 'kemarin', 'jualan', 'up', 'down', 'bikin', 'stre', 'putu', 'asa', 'berat', 'takut', 'gagal', 'kurangnya', 'support', 'amp', 'motivasi']"
502,"""Kau gagal tetapi masih bisa mampu bangkit kembali,karena itu menurutku arti dari kuat yg sebenarnya"" (Hinta Hyuuga)",Neutral,"['kau', 'gagal', 'bangkit', 'kembalikarena', 'menurutku', 'arti', 'kuat', 'hinta', 'hyuuga']"
504,"@KkfbytT @saptaliaz Live Chat siap bantu Keluhan transaksi Kamu: Buka App DANA, Pilih History/Riwayat, Pilih transaksi yg mau dilaporin, Pilih CHAT

Keluhan Akun Premium: Buka aplikasi DANA, Pilih Me/Saya, Klik ket Alasan Gagal/Reason Failed,  Klik menu CHAT

Keluhan lainnya email ke help@dana.id",Neutral,"['live', 'chat', 'bantu', 'keluhan', 'transaksi', 'buka', 'app', 'dana', 'pilih', 'historyriwayat', 'pilih', 'transaksi', 'dilaporin', 'pilih', 'chat', 'keluhan', 'akun', 'premium', 'buka', 'aplikasi', 'dana', 'pilih', 'mesaya', 'klik', 'ket', 'alasan', 'gagalreason', 'fail', 'klik', 'menu', 'chat', 'keluhan', 'email', 'helpid']"
505,"@NabilaK57709585 Dan ga usah bawa2 sok kejeniusan si pelakor gagal dlm ceramahmu sbb ga ngefek buat aku. Sekali murahan, si ai haibara pelakor gagal tetap murahan",Neutral,"['bawa', 'sok', 'kejeniusan', 'sih', 'pelakor', 'gagal', 'ceramahmu', 'ngefek', 'murahan', 'sih', 'ai', 'haibara', 'pelakor', 'gagal', 'murahan']"
506,"Kusimpan malam malam
di mana aku memikirkanmu.
Binar mata di tiap gemintang,
yang kutatap.
Kita adalah cerita
yang tak pernah selesai.
Benci aku sekuatmu.
Lupakan aku sejauhmu.
Jika gagal, jika lelah. Atau jika apapun. Pulanglah, cintai aku kembali.",Neutral,"['kusimpan', 'malam', 'malam', 'memikirkanmu', 'binar', 'mata', 'gemintang', 'kutatap', 'cerita', 'selesai', 'benci', 'sekuatmu', 'lupakan', 'sejauhmu', 'gagal', 'lelah', 'apapun', 'pulanglah', 'cintai']"
507,@NabilaK57709585 Ceramah sana gih ke akun kroni2mu si fans pelakor gagal ai haibara. Biar situ tau gmn bar2nya si fans murahan ai haibara. Segitu ga lakunya sampai usik Ran-chanku. Cari gih sana akun DC teori yg ppnya si murahan shiho miyano biar kamu tahu gmn sadisnya dia n kroninya ngatain Ran,Neutral,"['ceramah', 'gih', 'akun', 'kronimu', 'sih', 'fan', 'pelakor', 'gagal', 'ai', 'haibara', 'biar', 'situ', 'tau', 'barnya', 'sih', 'fan', 'murahan', 'ai', 'haibara', 'segitu', 'lakunya', 'usik', 'ranchanku', 'cari', 'gih', 'akun', 'dc', 'teori', 'ppnya', 'sih', 'murahan', 'shiho', 'miyano', 'biar', 'sadisnya', 'n', 'kroninya', 'mengatai', 'ran']"
508,"ka kid kl buat narasi gprnah gagal ya,indah bgt https://t.co/wcnOgqSxfq",Neutral,"['kak', 'kid', 'kalo', 'narasi', 'gprnah', 'gagal', 'yaindah', 'banget']"
509,"Sakjane wes tak rencana malam tahun baru meh tadarusan, tp gagal goro-goro di culik kancaku kon ngrewangi mangku purel🥹🥹",Neutral,"['sakjan', 'we', 'rencana', 'malam', 'meh', 'tadarusan', 'gagal', 'gorogoro', 'culik', 'kancaku', 'kon', 'ngrewangi', 'mangku', 'purel']"
510,"Oke resolusi 2023 udah gagal. Tidur cepet.

Berhasil tidurnya tp bangun lagi dan pastinya gabisa tidur 🤣",Positive,"['oke', 'resolusi', 'gagal', 'tidur', 'cepat', 'berhasil', 'tidurnya', 'bangun', 'pastinya', 'tidur']"
511,"HEBOH : gagal jadi bintang kelas , seorang siswi SMU nekad jadi bintang porno",Neutral,"['heboh', 'gagal', 'bintang', 'kela', 'siswi', 'smu', 'nekad', 'bintang', 'porno']"
512,"Kebanggaan kita yang
terbesar adalah bukan
tidak pernah gagal, tetapi
bangkit kembali setiap kali
kita jatuh.",Neutral,"['kebanggaan', 'terbesar', 'gagal', 'bangkit', 'kali', 'jatuh']"
513,Lingkup “sini” obrolannya seputar app ini sama nge-slot yg mana dua-duanya ga relate. Keknya gagal jadi akamsi 🦦 https://t.co/WYGpNXY5au,Neutral,"['lingkup', 'obrolannya', 'seputar', 'app', 'ngeslot', 'duaduanya', 'relat', 'kayaknya', 'gagal', 'akamsi']"
514,"@NabilaK57709585 Fans pelakor gagal ai haibara pakai ngatain tanduk ran, cinta ShinRan sebuah kebohongan, cints conai si ai murahan yg sejati. Prettt dahh, kamu baru satu aku yg bereaksi sdh playing victim",Neutral,"['fan', 'pelakor', 'gagal', 'ai', 'haibara', 'pakai', 'mengatai', 'tanduk', 'ran', 'cinta', 'shinran', 'kebohongan', 'cint', 'conai', 'sih', 'ai', 'murahan', 'sejati', 'prettt', 'dah', 'bereaksi', 'play', 'victim']"
515,gagal dalam perjuangan belum tentu berarti kemunduran,Neutral,"['gagal', 'perjuangan', 'kemunduran']"
516,@NabilaK57709585 Googling gihh d twitter ini brp banyak yg hina Ran-cgsnku dr fans pelakor gagal ai? Biar situ tahu kalau si murahan ai haibara nyerang Ran. U/ fans Ran hanya aku yg bereaksi dan itu jg baru beberapa hari belakangan setelah lama para fans pelakor gagal sang penggoda ai haibara--,Neutral,"['googl', 'gihh', 'twitter', 'hina', 'rancgsnku', 'fan', 'pelakor', 'gagal', 'ai', 'biar', 'situ', 'sih', 'murahan', 'ai', 'haibara', 'menyerang', 'ran', 'lu', 'fan', 'ran', 'bereaksi', 'fan', 'pelakor', 'gagal', 'sang', 'penggoda', 'ai', 'haibara']"
517,"apabila kita takut gagal, itu berarti kita telah membatasi kemampuan kita.",Neutral,"['takut', 'gagal', 'membatasi', 'kemampuan']"
518,"dari awal dia cerita mau dibantu bikin surat lamaran, jjur ak yg hopeless, takut dia gagal trs sedih tp akhirnya ga nt huhu nangis happy bgtttt",Neutral,"['cerita', 'dibantu', 'bikin', 'surat', 'lamaran', 'jujur', 'hopeless', 'takut', 'gagal', 'sedih', 'huhu', 'menangi', 'happi', 'banget']"
519,"Hai gue Sulli Maknae gagal f(x),lo?",Neutral,"['hai', 'gue', 'sulli', 'makna', 'gagal', 'fxlo']"
520,"Tolong banget ini mah, lu kalau masih gamon jangan cari orang baru buat bantu lu move on, move on gak harus cari pacar baru, iye kalau berhasil kalau gagal? Hubungan udah jalan tapi hati lu masih di mantan. Lu jadiin dia cuman pelampiasan doang kalau kek gitu mah. https://t.co/WCaowiXFJ9",Neutral,"['tolong', 'banget', 'mah', 'lu', 'gamon', 'cari', 'orang', 'bantu', 'lu', 'move', 'on', 'move', 'on', 'cari', 'pacar', 'iye', 'berhasil', 'gagal', 'hubungan', 'jalan', 'hati', 'lu', 'mantan', 'lu', 'jadikan', 'cuman', 'pelampiasan', 'doang', 'kayak', 'mah']"
521,"@garistengah_id Semenjak mou masuk, rambut dianeh2in, tato makin banyak. Mungkin mau jadi musisi jadinya gagal fokus 😁",Neutral,"['id', 'semenjak', 'mou', 'masuk', 'rambut', 'dianehin', 'tato', 'musisi', 'gagal', 'foku']"
522,gagal tidur grgr dea ajg,Neutral,"['gagal', 'tidur', 'gara-gara', 'dea', 'ajg']"
523,"Tahun baru gue udah diphpin aja ama lobang idung, seharian gagal bersin, gatelnya ampun-ampunan, bersinnya susah bgt. Masih ikhlas dah kalau ini mah :(",Neutral,"['gue', 'diphpin', 'lobang', 'hidung', 'seharian', 'gagal', 'bersin', 'gatelnya', 'ampunampunan', 'bersinnya', 'susah', 'banget', 'ikhla', 'deh', 'mah']"
524,"Orang Sukses selalu kelebihan cara ,
namun orang Gagal selalu kelebihan Alasan",Neutral,"['orang', 'suks', 'kelebihan', 'orang', 'gagal', 'kelebihan', 'alasan']"
525,keujanan dan gagal ngemall https://t.co/zO7gSj85xU,Neutral,"['keujanan', 'gagal', 'ngemal']"
526,"Ya Allah knp sih, gw slalu gagal soal cinta2an🙂",Positive,"['ya', 'allah', 'sih', 'gue', 'gagal', 'cintaan']"
527,"Jangan takut gagal, karena kegagalan membuat kita semakin kuat dan tangguh",Neutral,"['takut', 'gagal', 'kegagalan', 'kuat', 'tangguh']"
528,"[cm] im feeling unworthy karena kuliahku berantakan. niIai-niIai aku jatuh, rasanya udh ga punya gairah buat kuliah lagi, rasanya gagal jadi anak.

aku bentar lg smt 6, tapi rasanya berat, perasaan aku takut ga bisa survive pas semester akhir;",Neutral,"['im', 'feel', 'unworthi', 'kuliahku', 'berantakan', 'niiainiiai', 'jatuh', 'gairah', 'kuliah', 'gagal', 'anak', 'bentar', 'smt', 'berat', 'perasaan', 'takut', 'surviv', 'pa', 'semest']"
